MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.4441049,-122.2327661,10.851,0.0009954604,0.1,30.257324,1626727760999
Fix,GT,37.4441049,-122.2327661,10.851,0.001,0.1,30.257294,1626727761999
Fix,GT,37.4441049,-122.2327661,10.851,0.0014142136,0.1,30.257477,1626727762999
Fix,GT,37.4441049,-122.2327661,10.851,0.0022323343,0.1,30.25708,1626727763999
Fix,GT,37.4441049,-122.232766,10.852,0.01075187,0.1,30.346375,1626727764999
Fix,GT,37.4441038,-122.2327674,10.853004545092585,0.38000757,0.1,29.291016,1626727765999
Fix,GT,37.4441003,-122.2327731,10.841009092330932,0.7810196,0.1,21.812927,1626727766999
Fix,GT,37.4440937,-122.2327807,10.82200909459591,1.0410138,0.1,9.891846,1626727767999
Fix,GT,37.4440851,-122.2327869,10.7950136449337,0.8658325,0.1,356.9378,1626727768999
Fix,GT,37.4440801,-122.232789,10.783,0.21422768,0.1,350.16553,1626727769999
Fix,GT,37.4440799,-122.2327892,10.781004550457,0.021145454,0.1,349.57043,1626727770999
Fix,GT,37.4440836,-122.2327914,10.78,0.9594279,0.1,346.4397,1626727771999
Fix,GT,37.4440939,-122.2328049,10.812986341834067,1.944123,0.1,327.6,1626727772999
Fix,GT,37.4441013,-122.2328329,10.79601821541786,2.763911,0.1,297.46228,1626727773999
Fix,GT,37.4440975,-122.2328721,10.743027329921723,3.6755922,0.1,266.2286,1626727774999
Fix,GT,37.4440775,-122.2329103,10.647045560002327,3.9928794,0.1,237.08157,1626727775999
Fix,GT,37.4440491,-122.2329349,10.537036457061769,3.1580317,0.1,215.71785,1626727776999
Fix,GT,37.4440303,-122.2329464,10.45599544173479,2.0088437,0.1,209.02931,1626727777999
Fix,GT,37.4440123,-122.232958,10.411013677835465,2.4611862,0.1,207.9017,1626727778999
Fix,GT,37.4439894,-122.2329727,10.326072966575625,3.4015615,0.1,207.18573,1626727779999
Fix,GT,37.4439568,-122.2329935,10.252041054427623,4.541374,0.1,206.95483,1626727780999
Fix,GT,37.4439208,-122.2330173,10.177031939148902,4.3695116,0.1,207.93628,1626727781999
Fix,GT,37.4438897,-122.2330422,10.111054766416547,3.740511,0.1,213.03122,1626727782999
Fix,GT,37.4438682,-122.2330645,10.042036519527434,2.4018621,0.1,218.7422,1626727783999
Fix,GT,37.4438563,-122.2330822,9.916050226807595,2.0816677,0.1,226.35304,1626727784999
Fix,GT,37.4438493,-122.2331065,9.766100479841231,2.576381,0.1,244.34828,1626727785999
Fix,GT,37.4438515,-122.2331419,9.722949747622014,3.7434711,0.1,269.31155,1626727786999
Fix,GT,37.4438657,-122.2331905,9.63706397342682,5.573813,0.1,290.61877,1626727787999
Fix,GT,37.4438927,-122.2332569,9.444100554585455,7.609825,0.1,297.25775,1626727788999
Fix,GT,37.4439303,-122.2333392,9.204123440086844,8.982583,0.1,300.6814,1626727789999
Fix,GT,37.4439751,-122.2334308,8.982086886763572,10.038308,0.1,301.56067,1626727790999
Fix,GT,37.4440241,-122.23353,8.698132647752761,10.485094,0.1,301.84216,1626727791999
Fix,GT,37.4440754,-122.2336321,8.394096079051495,10.883926,0.1,302.3792,1626727792999
Fix,GT,37.4441286,-122.2337363,8.182137289762498,10.999548,0.1,302.774,1626727793999
Fix,GT,37.4441832,-122.2338401,7.955100705385208,10.998333,0.1,303.54742,1626727794999
Fix,GT,37.4442371,-122.2339419,7.728128202199936,10.465198,0.1,303.34125,1626727795999
Fix,GT,37.444286,-122.2340348,7.535073276519776,9.211801,0.1,303.2887,1626727796999
Fix,GT,37.4443285,-122.2341154,7.350059552669525,7.879068,0.1,303.41895,1626727797999
Fix,GT,37.4443603,-122.2341813,7.211036656856537,5.604772,0.1,299.73065,1626727798999
Fix,GT,37.4443789,-122.2342247,7.110036665439606,3.3379087,0.1,298.49173,1626727799999
Fix,GT,37.4443902,-122.2342507,7.059009168744088,1.9363859,0.1,298.41455,1626727800999
Fix,GT,37.4443953,-122.2342627,7.038004585504533,0.45011738,0.1,298.42163,1626727801999
Fix,GT,37.4443956,-122.2342634,7.026,0.0030334624,0.1,298.4227,1626727802999
Fix,GT,37.4443956,-122.2342634,7.026,0.0031523574,0.1,298.4234,1626727803999
Fix,GT,37.4443956,-122.2342634,7.027,0.001417985,0.1,298.4231,1626727804999
Fix,GT,37.4443956,-122.2342633,7.027,0.0014142136,0.1,298.42044,1626727805999
Fix,GT,37.4443956,-122.2342633,7.027,0.0010045914,0.1,298.42038,1626727806999
Fix,GT,37.4443956,-122.2342633,7.027,0.0019954075,0.1,298.42047,1626727807999
Fix,GT,37.4443956,-122.2342633,7.027,0.0022303902,0.1,298.42004,1626727808999
Fix,GT,37.4443956,-122.2342633,7.027,0.002236068,0.1,298.42032,1626727809999
Fix,GT,37.4443956,-122.2342633,7.027,0.0009954042,0.1,298.42047,1626727810999
Fix,GT,37.4443956,-122.2342633,7.027995403051376,0.0014142136,0.1,298.4203,1626727811999
Fix,GT,37.4443956,-122.2342633,7.028,0.001407711,0.1,298.42053,1626727812999
Fix,GT,37.4443957,-122.2342634,7.027004599273205,0.078402355,0.1,298.42157,1626727813999
Fix,GT,37.4444003,-122.2342749,6.988018401622773,2.6071548,0.1,297.93167,1626727814999
Fix,GT,37.4444149,-122.2343166,6.890064422369003,5.2112236,0.1,293.05423,1626727815999
Fix,GT,37.444427,-122.2343813,6.968944767236709,6.516231,0.1,280.7885,1626727816999
Fix,GT,37.4444246,-122.2344619,7.084917130470275,7.5443215,0.1,262.93826,1626727817999
Fix,GT,37.4443978,-122.2345463,7.210023025274277,8.677483,0.1,242.57784,1626727818999
Fix,GT,37.4443429,-122.2346259,7.282912482440472,9.81021,0.1,223.76718,1626727819999
Fix,GT,37.4442667,-122.234695,7.456866385996341,11.181977,0.1,213.43033,1626727820999
Fix,GT,37.4441745,-122.2347668,7.737870963335037,12.866391,0.1,211.1288,1626727821999
Fix,GT,37.4440696,-122.2348415,8.110820221543312,13.880228,0.1,208.45367,1626727822999
Fix,GT,37.443955,-122.2349167,8.578686467170716,14.871477,0.1,207.03183,1626727823999
Fix,GT,37.4438304,-122.2349968,9.008889311313627,16.205437,0.1,207.02643,1626727824999
Fix,GT,37.4436971,-122.2350827,9.307889285564425,17.108404,0.1,207.1814,1626727825999
Fix,GT,37.4435561,-122.235175,9.463958471357822,18.175106,0.1,207.6299,1626727826999
Fix,GT,37.443408,-122.2352732,9.573912306904791,18.934032,0.1,207.8729,1626727827999
Fix,GT,37.4432583,-122.2353739,9.762893817782402,18.694065,0.1,208.222,1626727828999
Fix,GT,37.4431116,-122.235473,9.94792149823904,18.267426,0.1,208.13068,1626727829999
Fix,GT,37.442968,-122.2355696,10.220861431717871,18.001066,0.1,208.01459,1626727830999
Fix,GT,37.4428247,-122.2356653,10.572782856464388,18.030909,0.1,207.8517,1626727831999
Fix,GT,37.442681,-122.2357602,11.192694996356964,18.032602,0.1,207.49583,1626727832999
Fix,GT,37.4425365,-122.2358543,11.920616340816022,18.014557,0.1,207.29716,1626727833999
Fix,GT,37.4423946,-122.2359468,12.921500652074814,17.444212,0.1,207.49287,1626727834999
Fix,GT,37.4422581,-122.2360365,13.9755329028368,16.725471,0.1,207.68677,1626727835999
Fix,GT,37.4421281,-122.236124,14.89258829343319,16.131172,0.1,208.33083,1626727836999
Fix,GT,37.4420016,-122.2362109,15.68067147952318,15.995578,0.1,208.7562,1626727837999
Fix,GT,37.4418755,-122.2362987,16.435680651366713,15.988754,0.1,209.07213,1626727838999
Fix,GT,37.44175,-122.2363877,17.146685198545455,16.13507,0.1,209.48505,1626727839999
Fix,GT,37.4416207,-122.2364789,17.799680490970612,16.86084,0.1,209.10196,1626727840999
Fix,GT,37.4414857,-122.2365773,18.568601668834685,17.644087,0.1,211.22163,1626727841999
Fix,GT,37.4413519,-122.2366907,19.46055986976624,18.352566,0.1,216.01514,1626727842999
Fix,GT,37.4412194,-122.2368222,20.43658293259144,19.198484,0.1,219.52988,1626727843999
Fix,GT,37.4410879,-122.2369705,21.43548548454046,20.067284,0.1,223.42496,1626727844999
Fix,GT,37.4409593,-122.2371359,22.624489995241166,20.808142,0.1,227.48071,1626727845999
Fix,GT,37.4408393,-122.237317,23.836420300126075,20.889555,0.1,232.55878,1626727846999
Fix,GT,37.4407302,-122.23751,25.027429428696628,21.031742,0.1,235.54268,1626727847999
Fix,GT,37.4406252,-122.2377085,26.3004710419178,21.08859,0.1,236.7715,1626727848999
Fix,GT,37.4405206,-122.2379067,27.521429135441775,20.967838,0.1,235.59174,1626727849999
Fix,GT,37.44041,-122.2380982,28.864480061531065,20.906963,0.1,232.68002,1626727850999
Fix,GT,37.4402933,-122.2382835,30.024540293514725,20.91157,0.1,231.04575,1626727851999
Fix,GT,37.4401732,-122.238466,31.107530886113647,21.001019,0.1,229.87477,1626727852999
Fix,GT,37.4400487,-122.2386462,32.14254469752312,21.237473,0.1,228.36357,1626727853999
Fix,GT,37.4399181,-122.2388236,33.26051206326485,21.375319,0.1,226.12358,1626727854999
Fix,GT,37.4397824,-122.2389943,34.27645150434971,21.286303,0.1,224.15887,1626727855999
Fix,GT,37.4396433,-122.2391591,35.18061874425411,21.145054,0.1,222.37842,1626727856999
