MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.4441062,-122.2327687,10.852,0.0005827841,0.1,30.257172,1626727758441
Fix,GT,37.4441062,-122.2327687,10.852000323414805,0.001,0.1,30.257355,1626727759441
Fix,GT,37.4441062,-122.2327687,10.851,0.001,0.1,30.257416,1626727760441
Fix,GT,37.4441063,-122.2327687,10.850999676615,0.0014142136,0.1,30.257507,1626727761441
Fix,GT,37.4441063,-122.2327687,10.850999676615,0.0014142136,0.1,30.257446,1626727762441
Fix,GT,37.4441063,-122.2327687,10.851,0.0014142136,0.1,30.257294,1626727763441
Fix,GT,37.4441063,-122.2327687,10.851,0.0018973895,0.1,30.256653,1626727764441
Fix,GT,37.4441063,-122.2327687,10.855824504643678,0.1216516,0.1,30.364777,1626727765441
Fix,GT,37.4441039,-122.2327721,10.848587909400464,0.58558995,0.1,26.758179,1626727766441
Fix,GT,37.4440987,-122.2327794,10.83317549586296,0.91276634,0.1,16.965118,1626727767441
Fix,GT,37.4440903,-122.232787,10.811175496518612,1.0622503,0.1,3.9086304,1626727768441
Fix,GT,37.4440822,-122.2327915,10.788175818562507,0.61157167,0.1,352.90216,1626727769441
Fix,GT,37.4440796,-122.2327923,10.783412090718748,0.036158442,0.1,349.75226,1626727770441
Fix,GT,37.4440802,-122.2327926,10.775412411928176,0.36697513,0.1,349.27145,1626727771441
Fix,GT,37.444087,-122.2327987,10.794060454189776,1.4463453,0.1,340.056,1626727772441
Fix,GT,37.4440965,-122.232818,10.814175818324088,2.3214877,0.1,315.34296,1626727773441
Fix,GT,37.444099,-122.2328502,10.765290861248973,3.2427583,0.1,283.41486,1626727774441
Fix,GT,37.4440882,-122.2328892,10.699879090428354,3.8796525,0.1,252.91115,1626727775441
Fix,GT,37.4440631,-122.2329212,10.598290865153077,3.853445,0.1,226.25769,1626727776441
Fix,GT,37.4440377,-122.2329383,10.50052714034915,2.303986,0.1,211.04915,1626727777441
Fix,GT,37.4440215,-122.2329484,10.435763415634632,2.2110069,0.1,208.4015,1626727778441
Fix,GT,37.4440018,-122.2329613,10.343285632014274,2.753378,0.1,207.65805,1626727779441
Fix,GT,37.4439748,-122.2329783,10.302466690659523,4.012534,0.1,206.8631,1626727780441
Fix,GT,37.4439393,-122.2330012,10.2235274528265,4.5617027,0.1,207.16711,1626727781441
Fix,GT,37.4439047,-122.2330253,10.154939846277236,4.159631,0.1,209.45068,1626727782441
Fix,GT,37.4438772,-122.2330505,10.08670326948166,3.208775,0.1,215.71309,1626727783441
Fix,GT,37.4438604,-122.23307,9.985642812132834,1.9732038,0.1,221.3335,1626727784441
Fix,GT,37.4438502,-122.2330901,9.85623072075844,2.223801,0.1,232.60019,1626727785441
Fix,GT,37.4438467,-122.23312,9.722115650832652,2.956914,0.1,255.28369,1626727786441
Fix,GT,37.4438533,-122.2331623,9.693763726055622,4.480651,0.1,279.23264,1626727787441
Fix,GT,37.4438743,-122.233219,9.576642812132835,6.501787,0.1,295.23672,1626727788441
Fix,GT,37.443906,-122.2332937,9.33493398976326,8.389506,0.1,298.82242,1626727789441
Fix,GT,37.4439474,-122.2333803,9.115813076019286,9.437727,0.1,301.33948,1626727790441
Fix,GT,37.4439944,-122.233476,8.85493398976326,10.3478155,0.1,301.5967,1626727791441
Fix,GT,37.4440443,-122.2335765,8.549994446635246,10.661812,0.1,302.10803,1626727792441
Fix,GT,37.4440967,-122.2336799,8.295527451753617,10.94099,0.1,302.56003,1626727793441
Fix,GT,37.4441505,-122.2337842,8.08928562426567,11.01568,0.1,303.22504,1626727794441
Fix,GT,37.4442054,-122.2338875,7.853521898388863,10.877319,0.1,303.61508,1626727795441
Fix,GT,37.4442574,-122.2339863,7.620758173704146,9.933265,0.1,303.26797,1626727796441
Fix,GT,37.4443035,-122.2340738,7.448406538963319,8.64439,0.1,303.43234,1626727797441
Fix,GT,37.4443424,-122.2341486,7.269994232296943,6.965164,0.1,302.26306,1626727798441
Fix,GT,37.4443676,-122.2342052,7.162878874152899,4.4647255,0.1,298.6503,1626727799441
Fix,GT,37.4443826,-122.2342397,7.088,2.689782,0.1,298.39728,1626727800441
Fix,GT,37.4443911,-122.2342596,7.049763936638832,1.2872946,0.1,298.41272,1626727801441
Fix,GT,37.4443935,-122.2342652,7.031763517081738,0.043632217,0.1,298.42017,1626727802441
Fix,GT,37.4443935,-122.2342652,7.025000209361315,0.0025843212,0.1,298.4228,1626727803441
Fix,GT,37.4443935,-122.2342652,7.02700020942092,0.003578077,0.1,298.42245,1626727804441
Fix,GT,37.4443935,-122.2342652,7.02700020942092,0.0020972816,0.1,298.42078,1626727805441
Fix,GT,37.4443935,-122.2342651,7.027,0.0018973891,0.1,298.42075,1626727806441
Fix,GT,37.4443935,-122.2342651,7.027,0.0008314286,0.1,298.42084,1626727807441
Fix,GT,37.4443935,-122.2342651,7.027,0.0011706938,0.1,298.42072,1626727808441
Fix,GT,37.4443935,-122.2342651,7.026999790579081,0.0008314285,0.1,298.42044,1626727809441
Fix,GT,37.4443935,-122.2342651,7.026999790579081,0.0012435197,0.1,298.42047,1626727810441
Fix,GT,37.4443935,-122.2342651,7.026999790579081,0.001897389,0.1,298.42053,1626727811441
Fix,GT,37.4443935,-122.2342651,7.0280000000000005,0.0014142136,0.1,298.4206,1626727812441
Fix,GT,37.4443935,-122.2342651,7.028000209450722,0.0017266953,0.1,298.4207,1626727813441
Fix,GT,37.4443944,-122.234267,7.008527661949396,0.8635682,0.1,298.401,1626727814441
Fix,GT,37.4444039,-122.2342912,6.962466996848583,3.907402,0.1,296.7013,1626727815441
Fix,GT,37.4444191,-122.2343443,6.931884638369083,5.7771587,0.1,288.4264,1626727816441
Fix,GT,37.444426,-122.2344159,7.002121121406556,7.072874,0.1,273.78943,1626727817441
Fix,GT,37.4444136,-122.2344984,7.15847831261158,7.88043,0.1,254.03491,1626727818441
Fix,GT,37.4443746,-122.234581,7.220120913743973,9.247467,0.1,233.60918,1626727819441
Fix,GT,37.4443098,-122.2346546,7.340945096492767,10.2929535,0.1,217.81395,1626727820441
Fix,GT,37.4442262,-122.2347233,7.570950649857521,11.951567,0.1,212.23938,1626727821441
Fix,GT,37.4441281,-122.2347972,7.899599017322063,13.347366,0.1,209.88748,1626727822441
Fix,GT,37.4440186,-122.2348718,8.287483907431366,14.284443,0.1,207.81944,1626727823441
Fix,GT,37.4439,-122.2349485,8.802483662128449,15.459503,0.1,207.0689,1626727824441
Fix,GT,37.443771,-122.2350314,9.123363020807506,16.562193,0.1,206.99644,1626727825441
Fix,GT,37.4436344,-122.2351197,9.380769283413889,17.595806,0.1,207.37021,1626727826441
Fix,GT,37.44349,-122.2352149,9.509120917320253,18.55151,0.1,207.74165,1626727827441
Fix,GT,37.4433402,-122.235315,9.656181664019822,18.881071,0.1,208.0464,1626727828441
Fix,GT,37.4431917,-122.2354152,9.832593469619752,18.527304,0.1,208.20502,1626727829441
Fix,GT,37.4430467,-122.2355133,10.058654229015112,18.05884,0.1,208.08008,1626727830441
Fix,GT,37.4429034,-122.2356091,10.353599035024644,18.026537,0.1,207.9201,1626727831441
Fix,GT,37.4427599,-122.2357046,10.823016696572305,18.019403,0.1,207.69693,1626727832441
Fix,GT,37.4426158,-122.2357991,11.49449515849352,18.084538,0.1,207.35645,1626727833441
Fix,GT,37.4424718,-122.2358927,12.331621682375667,17.806982,0.1,207.34291,1626727834441
Fix,GT,37.4423323,-122.235984,13.394330156087875,17.138268,0.1,207.55966,1626727835441
