MessageType,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis
Fix,GT,37.4441042,-122.2327647,10.851,0.001,0.1,30.257294,1626727761999
Fix,GT,37.4441042,-122.2327647,10.851,0.0014142136,0.1,30.257477,1626727762999
Fix,GT,37.4441042,-122.2327647,10.851,0.0022348936,0.1,30.25708,1626727763999
Fix,GT,37.4441042,-122.2327647,10.852,0.010764509,0.1,30.346466,1626727764999
Fix,GT,37.4441031,-122.232766,10.853001436412336,0.38013285,0.1,29.290009,1626727765999
Fix,GT,37.4440998,-122.2327716,10.841002880334852,0.7811221,0.1,21.809845,1626727766999
Fix,GT,37.4440934,-122.2327792,10.82200288772583,1.0410578,0.1,9.887726,1626727767999
Fix,GT,37.4440851,-122.2327853,10.795004342854025,0.8656687,0.1,356.93436,1626727768999
Fix,GT,37.4440802,-122.2327874,10.783,0.21399304,0.1,350.16464,1626727769999
Fix,GT,37.44408,-122.2327876,10.781001455068589,0.021191541,0.1,349.57034,1626727770999
Fix,GT,37.4440838,-122.2327899,10.78,0.95984495,0.1,346.43695,1626727771999
Fix,GT,37.4440945,-122.2328035,10.812995612978936,1.9443791,0.1,327.59232,1626727772999
Fix,GT,37.4441024,-122.2328321,10.796005863666531,2.7642097,0.1,297.45206,1626727773999
Fix,GT,37.4440988,-122.2328721,10.743008816957474,3.6756907,0.1,266.21915,1626727774999
Fix,GT,37.4440786,-122.232911,10.647014731884004,3.992849,0.1,237.07321,1626727775999
Fix,GT,37.4440499,-122.2329362,10.537011815547944,3.1574876,0.1,215.71318,1626727776999
Fix,GT,37.444031,-122.2329477,10.45599851936102,2.0090306,0.1,209.0285,1626727777999
Fix,GT,37.4440129,-122.2329594,10.411004453003407,2.4611735,0.1,207.90158,1626727778999
Fix,GT,37.4439901,-122.2329741,10.32602380657196,3.402001,0.1,207.1855,1626727779999
Fix,GT,37.4439574,-122.2329949,10.25201342445612,4.5414906,0.1,206.95491,1626727780999
Fix,GT,37.4439214,-122.2330187,10.177010467112064,4.369368,0.1,207.93686,1626727781999
Fix,GT,37.4438905,-122.2330435,10.111017987251282,3.7402334,0.1,213.03326,1626727782999
Fix,GT,37.4438691,-122.2330657,10.042012021541597,2.401456,0.1,218.7439,1626727783999
Fix,GT,37.4438573,-122.2330832,9.916016570270063,2.0817676,0.1,226.3565,1626727784999
Fix,GT,37.4438505,-122.2331071,9.766033221840855,2.576655,0.1,244.35568,1626727785999
Fix,GT,37.4438527,-122.2331418,9.722983348429205,3.7439044,0.1,269.31866,1626727786999
Fix,GT,37.4438668,-122.2331899,9.637021243810654,5.5744586,0.1,290.624,1626727787999
Fix,GT,37.4438938,-122.233256,9.444033464431763,7.6104407,0.1,297.25888,1626727788999
Fix,GT,37.4439313,-122.2333383,9.204041169762611,8.982884,0.1,300.6823,1626727789999
Fix,GT,37.4439761,-122.2334299,8.982029041528701,10.038608,0.1,301.56067,1626727790999
Fix,GT,37.4440251,-122.233529,8.698044435441494,10.485156,0.1,301.84232,1626727791999
Fix,GT,37.4440764,-122.2336312,8.394032253742218,10.883975,0.1,302.37936,1626727792999
Fix,GT,37.4441296,-122.2337353,8.182046187639237,10.99959,0.1,302.77414,1626727793999
Fix,GT,37.4441842,-122.2338392,7.955033952236175,10.998333,0.1,303.5476,1626727794999
Fix,GT,37.4442381,-122.2339409,7.7280433154106145,10.464924,0.1,303.34116,1626727795999
Fix,GT,37.444287,-122.2340339,7.53502481174469,9.211404,0.1,303.2887,1626727796999
Fix,GT,37.4443295,-122.2341144,7.350020207583904,7.878632,0.1,303.41882,1626727797999
Fix,GT,37.4443613,-122.2341804,7.211012464523315,5.6040125,0.1,299.72937,1626727798999
Fix,GT,37.44438,-122.2342239,7.110012494087219,3.3374465,0.1,298.49158,1626727799999
Fix,GT,37.4443913,-122.2342499,7.059003130912781,1.9359769,0.1,298.41458,1626727800999
Fix,GT,37.4443964,-122.2342619,7.038001569092274,0.44965473,0.1,298.4216,1626727801999
Fix,GT,37.4443967,-122.2342626,7.026,0.0030114746,0.1,298.4227,1626727802999
Fix,GT,37.4443967,-122.2342626,7.026,0.0031588688,0.1,298.4234,1626727803999
Fix,GT,37.4443967,-122.2342626,7.027,0.0014155123,0.1,298.4231,1626727804999
Fix,GT,37.4443967,-122.2342625,7.027,0.0014142136,0.1,298.42044,1626727805999
Fix,GT,37.4443967,-122.2342625,7.027,0.0010015875,0.1,298.42038,1626727806999
Fix,GT,37.4443967,-122.2342625,7.027,0.0019984087,0.1,298.42047,1626727807999
Fix,GT,37.4443967,-122.2342625,7.027,0.0022340964,0.1,298.42004,1626727808999
Fix,GT,37.4443967,-122.2342625,7.027,0.002236068,0.1,298.42032,1626727809999
Fix,GT,37.4443967,-122.2342625,7.027,0.0009983977,0.1,298.42047,1626727810999
Fix,GT,37.4443967,-122.2342625,7.027998394012451,0.0014142136,0.1,298.4203,1626727811999
Fix,GT,37.4443967,-122.2342625,7.028,0.0014119372,0.1,298.42053,1626727812999
Fix,GT,37.4443968,-122.2342626,7.027001613378525,0.078609236,0.1,298.42157,1626727813999
Fix,GT,37.4444014,-122.234274,6.988006468057632,2.6081228,0.1,297.93127,1626727814999
Fix,GT,37.444416,-122.2343159,6.890022691607475,5.2118607,0.1,293.05182,1626727815999
Fix,GT,37.4444283,-122.2343809,6.968980506420135,6.5166745,0.1,280.78418,1626727816999
Fix,GT,37.4444259,-122.234462,7.08497069311142,7.544449,0.1,262.93192,1626727817999
Fix,GT,37.444399,-122.2345469,7.210008159279823,8.677957,0.1,242.57169,1626727818999
Fix,GT,37.4443438,-122.234627,7.282968923389911,9.81051,0.1,223.76234,1626727819999
Fix,GT,37.4442675,-122.2346963,7.456952460110187,11.182494,0.1,213.42873,1626727820999
Fix,GT,37.4441752,-122.2347681,7.73795399928093,12.866824,0.1,211.12816,1626727821999
Fix,GT,37.4440702,-122.2348428,8.110935783445836,13.880497,0.1,208.4532,1626727822999
Fix,GT,37.4439555,-122.2349181,8.578887785434723,14.871842,0.1,207.03152,1626727823999
Fix,GT,37.4438309,-122.2349982,9.00896030330658,16.205782,0.1,207.02637,1626727824999
Fix,GT,37.4436977,-122.2350841,9.30796021604538,17.108763,0.1,207.18147,1626727825999
Fix,GT,37.4435567,-122.2351763,9.463985047757626,18.175373,0.1,207.63,1626727826999
Fix,GT,37.4434085,-122.2352746,9.573968363940716,18.934065,0.1,207.87296,1626727827999
Fix,GT,37.4432589,-122.2353752,9.76296162009239,18.693964,0.1,208.22198,1626727828999
Fix,GT,37.4431122,-122.2354744,9.947971569418907,18.267282,0.1,208.13063,1626727829999
Fix,GT,37.4429686,-122.2355709,10.220949717521666,18.001064,0.1,208.01453,1626727830999
Fix,GT,37.4428252,-122.2356666,10.572921050429343,18.030893,0.1,207.85167,1626727831999
Fix,GT,37.4426815,-122.2357616,11.19288888680935,18.032612,0.1,207.49568,1626727832999
Fix,GT,37.4425371,-122.2358557,11.920859960019587,18.014467,0.1,207.29718,1626727833999
Fix,GT,37.4423951,-122.2359482,12.921817386627197,17.444008,0.1,207.493,1626727834999
Fix,GT,37.4422587,-122.2360379,13.975828849434851,16.725233,0.1,207.68686,1626727835999
Fix,GT,37.4421286,-122.2361253,14.892848855257034,16.131071,0.1,208.331,1626727836999
Fix,GT,37.4420021,-122.2362122,15.68087916570902,15.99559,0.1,208.75629,1626727837999
Fix,GT,37.4418761,-122.2363001,16.435882314503193,15.988707,0.1,209.07227,1626727838999
Fix,GT,37.4417506,-122.236389,17.14688376879692,16.135231,0.1,209.48515,1626727839999
Fix,GT,37.4416213,-122.2364803,17.799881804525853,16.861153,0.1,209.1021,1626727840999
Fix,GT,37.4414863,-122.2365786,18.56885237121582,17.644215,0.1,211.22293,1626727841999
Fix,GT,37.4413526,-122.236692,19.460836570620533,18.352827,0.1,216.01654,1626727842999
Fix,GT,37.4412202,-122.2368235,20.43684483957291,19.198751,0.1,219.5308,1626727843999
Fix,GT,37.4410887,-122.2369716,21.435808225274084,20.067549,0.1,223.42592,1626727844999
Fix,GT,37.4409602,-122.237137,22.624809553027152,20.808249,0.1,227.482,1626727845999
Fix,GT,37.4408403,-122.237318,23.836783121049404,20.889597,0.1,232.56023,1626727846999
Fix,GT,37.4407312,-122.2375109,25.027786129236222,21.031801,0.1,235.54309,1626727847999
Fix,GT,37.4406263,-122.2377094,26.300801357030867,21.088543,0.1,236.77162,1626727848999
Fix,GT,37.4405217,-122.2379076,27.52178522014617,20.967815,0.1,235.59093,1626727849999
